task_name,epoch,step,loss
sciq,1,1,5.228357791900635
sciq,1,2,5.119900226593018
sciq,1,3,3.2469232082366943
sciq,1,4,2.799142599105835
sciq,1,5,1.6108582019805908
sciq,1,6,1.0150599479675293
sciq,1,7,1.7310956716537476
sciq,1,8,0.6925852298736572
sciq,1,9,0.7371236681938171
sciq,1,10,0.14311210811138153
sciq,1,11,1.240247130393982
sciq,1,12,1.4416440725326538
sciq,1,13,0.8470439910888672
sciq,1,14,0.43288877606391907
sciq,1,15,0.3973723351955414
sciq,1,16,0.5749370455741882
sciq,1,17,1.408249020576477
sciq,1,18,0.39589834213256836
sciq,1,19,0.26343750953674316
sciq,1,20,1.570037841796875
sciq,1,21,0.9091986417770386
sciq,1,22,0.30018118023872375
sciq,1,23,1.6917753219604492
sciq,1,24,0.7031473517417908
sciq,1,25,0.6368091702461243
sciq,1,26,1.4695568084716797
sciq,1,27,3.2541651725769043
sciq,1,28,0.9204953908920288
sciq,1,29,1.0349106788635254
sciq,1,30,0.4903753995895386
sciq,1,31,0.06772125512361526
sciq,1,32,0.3513126075267792
sciq,1,33,0.716486930847168
sciq,1,34,0.2533467710018158
sciq,1,35,1.4301390647888184
sciq,1,36,1.1113402843475342
sciq,1,37,0.3035922646522522
sciq,1,38,0.6388729214668274
sciq,1,39,0.5715475678443909
sciq,1,40,1.4100730419158936
sciq,1,41,0.6166297197341919
sciq,1,42,0.7294237017631531
sciq,1,43,0.6159230470657349
sciq,1,44,0.7375451922416687
sciq,1,45,1.1248009204864502
sciq,1,46,0.05146588757634163
sciq,1,47,3.0197980403900146
sciq,1,48,1.8214378356933594
sciq,1,49,0.46413400769233704
sciq,1,50,0.9026292562484741
arc_challenge,1,1,0.2388710081577301
arc_challenge,1,2,0.524821937084198
arc_challenge,1,3,0.8257316946983337
arc_challenge,1,4,1.013995885848999
arc_challenge,1,5,1.2567120790481567
arc_challenge,1,6,1.0079823732376099
arc_challenge,1,7,0.2379007190465927
arc_challenge,1,8,1.9144558906555176
arc_challenge,1,9,0.8317946791648865
arc_challenge,1,10,0.6570292115211487
arc_challenge,1,11,0.5158790946006775
arc_challenge,1,12,1.57046639919281
arc_challenge,1,13,0.9803183078765869
arc_challenge,1,14,0.3306314945220947
arc_challenge,1,15,0.7911470532417297
arc_challenge,1,16,0.2771356701850891
arc_challenge,1,17,0.44415900111198425
arc_challenge,1,18,0.22436630725860596
arc_challenge,1,19,1.1788301467895508
arc_challenge,1,20,1.7113572359085083
arc_challenge,1,21,0.642967164516449
arc_challenge,1,22,0.20666784048080444
arc_challenge,1,23,0.18657812476158142
arc_challenge,1,24,0.5312231183052063
arc_challenge,1,25,1.003607988357544
arc_challenge,1,26,0.5518622994422913
arc_challenge,1,27,0.7848384380340576
arc_challenge,1,28,0.45951932668685913
arc_challenge,1,29,0.3642500638961792
arc_challenge,1,30,0.42901426553726196
arc_challenge,1,31,0.3791343867778778
arc_challenge,1,32,0.6112486720085144
arc_challenge,1,33,0.6997954845428467
arc_challenge,1,34,0.5380316972732544
arc_challenge,1,35,0.7510735392570496
arc_challenge,1,36,1.224737286567688
arc_challenge,1,37,0.8594948053359985
arc_challenge,1,38,0.5093660950660706
arc_challenge,1,39,0.8673514127731323
arc_challenge,1,40,0.47023624181747437
arc_challenge,1,41,0.4224013388156891
arc_challenge,1,42,1.6030689477920532
arc_challenge,1,43,0.5404517650604248
arc_challenge,1,44,0.5224899053573608
arc_challenge,1,45,0.6537596583366394
arc_challenge,1,46,0.4602312445640564
arc_challenge,1,47,0.10109774023294449
arc_challenge,1,48,0.2449994832277298
arc_challenge,1,49,1.0229073762893677
arc_challenge,1,50,0.5884042978286743
arc_challenge,1,51,0.36439844965934753
arc_challenge,1,52,0.6571351289749146
arc_challenge,1,53,1.6436412334442139
arc_challenge,1,54,0.8153066635131836
arc_challenge,1,55,0.5116456151008606
arc_challenge,1,56,0.619863748550415
arc_challenge,1,57,0.6697196364402771
arc_challenge,1,58,0.4634125828742981
arc_challenge,1,59,0.13765883445739746
arc_challenge,1,60,0.30960920453071594
boolq,1,1,1.9366708993911743
boolq,1,2,3.0419695377349854
boolq,1,3,0.8802868127822876
boolq,1,4,0.41604548692703247
boolq,1,5,0.3142757713794708
boolq,1,6,0.23145930469036102
boolq,1,7,0.13203129172325134
boolq,1,8,0.015539645217359066
boolq,1,9,0.4159620404243469
boolq,1,10,2.119471311569214
boolq,1,11,0.5147767663002014
boolq,1,12,0.03963639587163925
boolq,1,13,0.04423866793513298
boolq,1,14,0.0016505846288055182
boolq,1,15,3.15395450592041
boolq,1,16,0.0008509136969223619
boolq,1,17,1.814598798751831
boolq,1,18,0.1957232505083084
boolq,1,19,0.0080551877617836
boolq,1,20,2.7538836002349854
boolq,1,21,1.694625735282898
boolq,1,22,0.9605727791786194
boolq,1,23,0.08856181055307388
boolq,1,24,1.4776872396469116
boolq,1,25,0.05239748954772949
boolq,1,26,0.03496959060430527
boolq,1,27,0.3741101324558258
boolq,1,28,0.401379257440567
boolq,1,29,0.7497957348823547
boolq,1,30,0.2039421945810318
boolq,1,31,0.7050014138221741
boolq,1,32,0.2336813360452652
boolq,1,33,0.3551577031612396
boolq,1,34,0.13056188821792603
boolq,1,35,0.21245382726192474
boolq,1,36,0.3293876051902771
boolq,1,37,0.5729933977127075
boolq,1,38,1.2623480558395386
boolq,1,39,0.6729181408882141
boolq,1,40,0.274696946144104
boolq,1,41,0.5031399130821228
boolq,1,42,0.4700467884540558
boolq,1,43,0.1965581178665161
boolq,1,44,0.10211765021085739
boolq,1,45,0.19896310567855835
boolq,1,46,0.761073648929596
boolq,1,47,0.15624940395355225
boolq,1,48,0.6669952869415283
boolq,1,49,0.6392664909362793
boolq,1,50,0.09330097585916519
boolq,1,51,0.30687227845191956
boolq,1,52,0.6791393160820007
boolq,1,53,0.0671890377998352
boolq,1,54,0.140102356672287
boolq,1,55,1.0455291271209717
boolq,1,56,0.236258864402771
boolq,1,57,0.2260790467262268
boolq,1,58,0.12515898048877716
boolq,1,59,0.20802322030067444
boolq,1,60,0.5641676783561707
