sample_id,task_name,split,source_dataset,input_text,target_text,token_count,early_loss,surprise_score,replay_selection_score,was_selected_for_replay,utility_label,utility_score,label_method
sciq_train_000050,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Different feeding ""positions"" in a food chain or web are associated with what kinds of levels?
Options:
A. autotrophic
B. heptic
C. benthic
D. trophic
Answer:",trophic,4,3.450906753540039,0.0017940655816346,0.0017940655816346,0,0,0.0017940655816346,proxy_replay_selection_v1
sciq_train_000079,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Air quality is a measure of what in the air?
Options:
A. pollutants
B. water
C. clouds
D. gases
Answer:",pollutants,2,7.158679962158203,0.005774887278676,0.005774887278676,0,0,0.005774887278676,proxy_replay_selection_v1
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,4.391053199768066,0.0004374524578452,0.0004374524578452,0,0,0.0004374524578452,proxy_replay_selection_v1
sciq_train_000070,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What larger theory is einstein's equation part of?
Options:
A. theory of relativity
B. cycle of relativity
C. law of relativity
D. excess of relativity
Answer:",theory of relativity,5,2.3840997219085693,2.062249404843897e-05,2.062249404843897e-05,0,0,2.062249404843897e-05,proxy_replay_selection_v1
sciq_train_000027,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the unit of liquid measurement in the metric system?
Options:
A. gallon
B. liter
C. pint
D. cylinder
Answer:",liter,3,2.484032392501831,0.254947692155838,0.254947692155838,0,0,0.254947692155838,proxy_replay_selection_v1
sciq_train_000052,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What bonds cause water to have a high boiling point, leaving most water on earth in a liquid state rather than in a gaseous state?
Options:
A. carbon bonds
B. potassium bonds
C. hydrogen bonds
D. helium bonds
Answer:",hydrogen bonds,3,4.4333930015563965,0.0582267493009567,0.0582267493009567,0,0,0.0582267493009567,proxy_replay_selection_v1
sciq_train_000094,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is another word for brooding- keeping eggs warm while the embryos develop?
Options:
A. incubation
B. fertilization
C. spawning
D. hibernation
Answer:",incubation,4,2.8008177280426025,0.0009519841405563,0.0009519841405563,0,0,0.0009519841405563,proxy_replay_selection_v1
sciq_train_000020,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call taxes placed on products that produce carbon dioxide?
Options:
A. pollution tax
B. chemical tax
C. carbon taxes
D. emission tax
Answer:",carbon taxes,3,0.9086323380470276,0.0002866295399144,0.0002866295399144,0,0,0.0002866295399144,proxy_replay_selection_v1
sciq_train_000044,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process bacteria use to break down chemicals into food?
Options:
A. cellular respiration
B. gametogenesis
C. chemosynthesis
D. biosynthesis
Answer:",chemosynthesis,5,0.9128351211547852,0.0047104330733418,0.0047104330733418,0,0,0.0047104330733418,proxy_replay_selection_v1
sciq_train_000036,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are the three types of symbiotic relationships?
Options:
A. mutualism, communalism, parasitism
B. symbiosis , communalism , parasitism
C. altruism, conservatism, communalism
D. pledgism, truism, greenism
Answer:","mutualism, communalism, parasitism",11,2.01137638092041,0.0200974848121404,0.0200974848121404,0,0,0.0200974848121404,proxy_replay_selection_v1
sciq_train_000049,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the attachment of ducklings to their mother an example of?
Options:
A. imprinting
B. magnetism
C. impressionism
D. validating
Answer:",imprinting,4,2.093874216079712,0.0001236012176377,0.0001236012176377,0,0,0.0001236012176377,proxy_replay_selection_v1
sciq_train_000061,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Hydrocarbons are combined with oxygen in a series of enzymatic steps to product water, carbon dioxide, and energy, which is stored in the form of what?
Options:
A. dormant molecules
B. energy
C. light
D. reactive molecules
Answer:",reactive molecules,3,2.160977602005005,1.6053181752795354e-05,1.6053181752795354e-05,0,0,1.6053181752795354e-05,proxy_replay_selection_v1
sciq_train_000093,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Which class of acids acetic acid (ch 3 cooh) belongs to?
Options:
A. common acids
B. organic acids
C. anorganic acids
D. strong acids
Answer:",organic acids,3,1.8644746541976929,0.000876929203514,0.000876929203514,0,0,0.000876929203514,proxy_replay_selection_v1
sciq_train_000015,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when electrons are shared equally?
Options:
A. nonpolar bonds
B. metabolized bonds
C. polar bonds
D. helices bonds
Answer:",nonpolar bonds,4,1.85319721698761,0.0004962871898896,0.0004962871898896,0,0,0.0004962871898896,proxy_replay_selection_v1
sciq_train_000011,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,2,0.1890374571084976,0.0001986229617614,0.0001986229617614,0,0,0.0001986229617614,proxy_replay_selection_v1
