sample_id,task_name,split,source_dataset,input_text,target_text,token_count,early_loss,surprise_score,replay_selection_score,was_selected_for_replay,utility_label,utility_score,label_method
sciq_train_000050,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Different feeding ""positions"" in a food chain or web are associated with what kinds of levels?
Options:
A. autotrophic
B. heptic
C. benthic
D. trophic
Answer:",trophic,4,3.450906753540039,3.450906753540039,0.0619103303590087,0,0,0.0619103303590087,proxy_replay_selection_v1
sciq_train_000079,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Air quality is a measure of what in the air?
Options:
A. pollutants
B. water
C. clouds
D. gases
Answer:",pollutants,2,7.158679962158203,7.158679962158203,0.6064359396682929,0,0,0.6064359396682929,proxy_replay_selection_v1
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,4.391053199768066,4.391053199768066,0.3810613009513235,0,0,0.3810613009513235,proxy_replay_selection_v1
sciq_train_000070,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What larger theory is einstein's equation part of?
Options:
A. theory of relativity
B. cycle of relativity
C. law of relativity
D. excess of relativity
Answer:",theory of relativity,5,2.3840997219085693,2.3840997219085693,0.932749104549424,1,1,0.932749104549424,proxy_replay_selection_v1
sciq_train_000027,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the unit of liquid measurement in the metric system?
Options:
A. gallon
B. liter
C. pint
D. cylinder
Answer:",liter,3,2.369229793548584,2.369229793548584,0.283575107372961,0,0,0.283575107372961,proxy_replay_selection_v1
sciq_train_000052,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What bonds cause water to have a high boiling point, leaving most water on earth in a liquid state rather than in a gaseous state?
Options:
A. carbon bonds
B. potassium bonds
C. hydrogen bonds
D. helium bonds
Answer:",hydrogen bonds,3,4.21527624130249,4.21527624130249,0.781862250520653,1,1,0.781862250520653,proxy_replay_selection_v1
sciq_train_000094,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is another word for brooding- keeping eggs warm while the embryos develop?
Options:
A. incubation
B. fertilization
C. spawning
D. hibernation
Answer:",incubation,4,2.391388416290283,2.391388416290283,0.6521590439872441,0,0,0.6521590439872441,proxy_replay_selection_v1
sciq_train_000020,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call taxes placed on products that produce carbon dioxide?
Options:
A. pollution tax
B. chemical tax
C. carbon taxes
D. emission tax
Answer:",carbon taxes,3,0.498589277267456,0.498589277267456,0.6786820766642784,0,0,0.6786820766642784,proxy_replay_selection_v1
sciq_train_000044,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process bacteria use to break down chemicals into food?
Options:
A. cellular respiration
B. gametogenesis
C. chemosynthesis
D. biosynthesis
Answer:",chemosynthesis,5,0.9433562159538268,0.9433562159538268,0.4928720200987435,0,0,0.4928720200987435,proxy_replay_selection_v1
sciq_train_000036,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are the three types of symbiotic relationships?
Options:
A. mutualism, communalism, parasitism
B. symbiosis , communalism , parasitism
C. altruism, conservatism, communalism
D. pledgism, truism, greenism
Answer:","mutualism, communalism, parasitism",11,1.85756254196167,1.85756254196167,0.5946891619087629,0,0,0.5946891619087629,proxy_replay_selection_v1
sciq_train_000049,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the attachment of ducklings to their mother an example of?
Options:
A. imprinting
B. magnetism
C. impressionism
D. validating
Answer:",imprinting,4,1.931720495223999,1.931720495223999,0.0759221787820745,0,0,0.0759221787820745,proxy_replay_selection_v1
sciq_train_000061,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Hydrocarbons are combined with oxygen in a series of enzymatic steps to product water, carbon dioxide, and energy, which is stored in the form of what?
Options:
A. dormant molecules
B. energy
C. light
D. reactive molecules
Answer:",reactive molecules,3,2.03784704208374,2.03784704208374,0.881668835270386,1,1,0.881668835270386,proxy_replay_selection_v1
sciq_train_000093,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Which class of acids acetic acid (ch 3 cooh) belongs to?
Options:
A. common acids
B. organic acids
C. anorganic acids
D. strong acids
Answer:",organic acids,3,1.4849365949630735,1.4849365949630735,0.8242737126665204,1,1,0.8242737126665204,proxy_replay_selection_v1
sciq_train_000015,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when electrons are shared equally?
Options:
A. nonpolar bonds
B. metabolized bonds
C. polar bonds
D. helices bonds
Answer:",nonpolar bonds,4,1.7509304285049438,1.7509304285049438,0.6195339100971368,0,0,0.6195339100971368,proxy_replay_selection_v1
sciq_train_000011,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,2,0.1546980738639831,0.1546980738639831,0.7696870262609683,1,1,0.7696870262609683,proxy_replay_selection_v1
sciq_train_000064,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Organic substances, including proteins, carbohydrates, and oils, contain what element?
Options:
A. acid
B. carbon
C. iron
D. oxygen
Answer:",carbon,2,0.5195250511169434,0.5195250511169434,0.2073565665063829,0,0,0.2073565665063829,proxy_replay_selection_v1
sciq_train_000017,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Where is the food stored before being mixed with the chyme?
Options:
A. top of the stomach
B. hemispherical of the stomach
C. fundus of the stomach
D. histopathology of the stomach
Answer:",fundus of the stomach,6,1.2746963500976562,1.2746963500976562,0.7537185879720004,0,0,0.7537185879720004,proxy_replay_selection_v1
sciq_train_000069,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Transporting blood is the main job of the heart and what?
Options:
A. bones
B. areolas
C. blood vessels
D. lymphatic system
Answer:",blood vessels,3,1.0186786651611328,1.0186786651611328,0.5632371677709572,0,0,0.5632371677709572,proxy_replay_selection_v1
sciq_train_000072,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What process tends to be external in aquatic species and internal in terrestrial species?
Options:
A. infection
B. pollination
C. migration
D. fertilization
Answer:",fertilization,3,1.0173105001449585,1.0173105001449585,0.9149081418975468,1,1,0.9149081418975468,proxy_replay_selection_v1
sciq_train_000074,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What can be switched off by a protein called the trp repressor?
Options:
A. the operon
B. the chaperone protein
C. the cytokine
D. the genetic precursor
Answer:",the operon,4,2.4459924697875977,2.4459924697875977,0.3032097568404333,0,0,0.3032097568404333,proxy_replay_selection_v1
sciq_train_000067,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Much of the iron produced is refined and converted into what?
Options:
A. wood
B. plastic
C. sugar
D. steel
Answer:",steel,2,1.4286315441131592,1.4286315441131592,0.1442201071820187,0,0,0.1442201071820187,proxy_replay_selection_v1
sciq_train_000083,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the ability of an atom to emit charged particles and energy from its nucleus called?
Options:
A. conductivity
B. power
C. accumulation
D. radioactivity
Answer:",radioactivity,3,2.526475191116333,2.526475191116333,0.2177782561830287,0,0,0.2177782561830287,proxy_replay_selection_v1
sciq_train_000054,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Sounds, chemicals, and visual cues are examples of what between animals?
Options:
A. communication
B. migration
C. procreation
D. circulation
Answer:",communication,2,0.8186277151107788,0.8186277151107788,0.2014322822719343,0,0,0.2014322822719343,proxy_replay_selection_v1
